Location_Name*,category*,Type*,Latitude,Longitude,Date,Open-Time,Closure Time,Status*,Satisfaction*
2,Complain,Traffic,29.83101370616100,31.35683848731800,2-Jan-24,23:00,23:00,Closed,Not satisfied
4,Complain,Traffic,29.83101201506200,31.35683321464400,4-Jan-24,11:00,11:00,Opend,Sattisfied
5,Complain,Security ,29.82766883148700,31.36626883466200,5-Jan-24,17:00,17:00,Opend,Sattisfied
6,Complain,Noise,29.83338217487600,31.35789256834300,6-Jan-24,23:00,23:00,Closed,Sattisfied
7,Complain,Cleaning,29.83245123390300,31.35880502638300,7-Jan-24,17:00,17:00,Closed,Not satisfied
8,Complain, Roads Issues,29.86996547268100,31.35178756285500,8-Jan-24,23:00,23:00,Closed,Not satisfied
9,Complain,Noise,29.83337478833000,31.35790809274600,6-Jan-24,5:00,5:00,Opend,Sattisfied
10,Complain,Pets Control,29.83197241653500,31.35848243187400,10-Jan-24,11:00,11:00,Opend,Sattisfied
11,Complain,Traffic,29.83101965412800,31.35683124541600,11-Jan-24,17:00,17:00,Closed ,Sattisfied
12,Complain,Security ,29.82767146831700,31.36626267088200,12-Jan-24,23:00,23:00,Closed,Sattisfied
13,Complain,Noise,29.82742708562100,31.36502583864100,13-Jan-24,5:00,5:00,Closed,Sattisfied
14,Complain,Pets Control,29.83197610540100,31.35847335760900,14-Jan-24,4:00,6:00,Closed,Sattisfied
15,Complain,Cleaning,29.83244709267600,31.35880228771500,15-Jan-24,17:00,17:00,Closed,Sattisfied
16,Complain, Roads Issues,29.86994857287900,31.35179647003600,16-Jan-24,23:00,23:00,Opend,Not satisfied
17,Complain,Noise,29.82742855086800,31.36502547385500,6-Jan-24,5:00,5:00,Opend,Sattisfied
18,Complain,Traffic,29.83101469278300,31.35683423882300,18-Jan-24,17:00,17:00,Closed,Sattisfied
19,Complain,Security ,29.80627895429200,31.36474532346200,19-Jan-24,23:00,23:00,Closed,Sattisfied
20,Complain,Noise,29.83337460358700,31.30789568819200,20-Jan-24,17:00,17:00,Closed,Sattisfied
21,Complain,Pets Control,29.81197046743000,31.35848351386000,21-Jan-24,23:00,23:00,Opend,Not satisfied
22,Complain, Roads Issues,29.80847325122600,31.36861504492800,22-Jan-24,17:00,17:00,Opend,Not satisfied
23,Complain,Noise,29.80742946891900,31.36502827622100,23-Jan-24,23:00,23:00,Closed ,Sattisfied
24,Complain,Cleaning,29.81244858031800,31.05881156244000,24-Jan-24,5:00,5:00,Closed,Sattisfied
25,Complain,Traffic,29.73101061472200,31.35683451979000,25-Jan-24,17:00,17:00,Closed,Sattisfied
26,Complain,Security ,29.52766415182700,31.26625819729500,26-Jan-24,23:00,23:00,Closed,Sattisfied
27,Complain,Noise,29.83338183145800,31.35789818338400,27-Jan-24,17:00,17:00,Closed,Sattisfied
28,Complain,Pets Control,29.83197486626700,31.35847213971100,28-Jan-24,23:00,23:00,Opend,Sattisfied
29,Complain,Pets Control,29.83196427323400,31.35847092767000,29-Jan-24,17:00,17:00,Opend,Sattisfied
30,Complain, Roads Issues,29.86995154750100,31.35178698036600,30-Jan-24,23:00,23:00,Closed,Not satisfied
31,Complain,Noise,29.83338870284600,31.35790542497800,31-Jan-24,5:00,5:00,Closed,Sattisfied
32,Complain,Traffic,29.83101420529600,31.35683269923500,1-Feb-24,17:00,17:00,Closed,Sattisfied
33,Complain,Security ,29.82628054153200,31.36474856121100,2-Feb-24,23:00,23:00,Opend,Sattisfied
34,Complain, Roads Issues,29.86995282860900,31.35179751493000,3-Feb-24,17:00,17:00,Opend,Sattisfied
35,Complain,Noise,29.82743376418500,31.36501504285600,4-Feb-24,23:00,23:00,Closed ,Not satisfied
36,Complain,Cleaning,29.83244565169200,31.35880569715900,5-Feb-24,17:00,17:00,Closed,Not satisfied
37,Complain, Roads Issues,29.86846667655300,31.36861761367600,6-Feb-24,23:00,23:00,Closed,Sattisfied
38,Complain,Pets Control,29.83197128082100,31.35847259300700,7-Feb-24,5:00,5:00,Closed,Sattisfied
39,Complain,Traffic,29.85248434067200,31.36624294208700,8-Feb-24,17:00,17:00,Closed,Sattisfied